Switch user 1,20:20h - 8/27/2013
Checking the solution ,20:20h - 8/27/2013
Checked emotions are . ,20:20h - 8/27/2013
Checking the solution ,20:20h - 8/27/2013
Checked emotions are . ,20:20h - 8/27/2013
Checking the solution ,20:22h - 8/27/2013
Checked emotions are . ,20:22h - 8/27/2013
Refresh problem ,20:22h - 8/27/2013
Replaying all steps ,20:22h - 8/27/2013
Checking the solution ,20:22h - 8/27/2013
Checked emotions are . ,20:22h - 8/27/2013
Checking the solution ,20:22h - 8/27/2013
Checked emotions are . ,20:22h - 8/27/2013
Checking the solution ,20:26h - 8/27/2013
Checked emotions are Sad/Depressed. ,20:26h - 8/27/2013
Checking the solution ,20:26h - 8/27/2013
Checked emotions are . ,20:26h - 8/27/2013
Refresh problem ,20:26h - 8/27/2013
Replaying all steps ,20:26h - 8/27/2013
Checking the solution ,20:26h - 8/27/2013
Checked emotions are . ,20:26h - 8/27/2013
Checking the solution ,22:10h - 8/27/2013
Checking the solution ,22:12h - 8/27/2013
Checked emotions are . ,22:12h - 8/27/2013
Refresh problem ,22:12h - 8/27/2013
Replaying all steps ,22:12h - 8/27/2013
Checking the solution ,22:12h - 8/27/2013
Checked emotions are . ,22:12h - 8/27/2013
Make command Move 2,9:12h - 8/28/2013
Refresh problem ,9:12h - 8/28/2013
Replaying all steps ,9:12h - 8/28/2013
Make command Move 2,9:12h - 8/28/2013
Make command Move 2,9:13h - 8/28/2013
Make command Move 2,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move 3,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move 4,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move 5,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move 4,9:17h - 8/28/2013
Make command Turn -90,9:17h - 8/28/2013
Make command Move -4,9:17h - 8/28/2013
Make command Turn -90,9:17h - 8/28/2013
Make command Turn 180,9:17h - 8/28/2013
Make command Move -4,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move -4,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move -5,9:17h - 8/28/2013
Make command Turn 90,9:17h - 8/28/2013
Make command Move -4,9:17h - 8/28/2013
Make command Turn -45,9:17h - 8/28/2013
Make command Move 5,9:17h - 8/28/2013
Refresh problem ,9:17h - 8/28/2013
Replaying all steps ,9:17h - 8/28/2013
