start,9:12h - 9/24/2013, , , , , 
Current problem index : 2 ,9:42h - 9/24/2013, , , , , 
Refresh problem ,9:42h - 9/24/2013, , , , , 
Replaying all steps ,9:42h - 9/24/2013, , , , , 
Click ,9:43h - 9/24/2013, ,kneeling,far,little/no movement, 
Make command Move -2,9:43h - 9/24/2013, , , , ,little/no movement
Click ,9:44h - 9/24/2013,long,kneeling,far,little/no movement, 
Make command Turn S,9:45h - 9/24/2013, , , , ,purposeful movement
Click ,9:45h - 9/24/2013,long,kneeling,far,little/no movement, 
Make command Move 3,9:45h - 9/24/2013, , , , ,little/no movement
Click ,9:46h - 9/24/2013,long,kneeling w/knees on floor,far,purposeful movement, 
Make command Plot point,9:46h - 9/24/2013, , , , ,purposeful movement
Checking the solution ,9:46h - 9/24/2013, , , , , 
Solution is Correct ,9:46h - 9/24/2013, , , , , 
Checked emotions are Happy. ,9:46h - 9/24/2013, , , , , 
Refresh problem ,9:46h - 9/24/2013, , , , , 
