start,8:11h - 9/26/2013, , , , , 
Current problem index : 2 ,8:37h - 9/26/2013, , , , , 
Refresh problem ,8:37h - 9/26/2013, , , , , 
Replaying all steps ,8:37h - 9/26/2013, , , , , 
Click ,8:37h - 9/26/2013		kneeling w/knees on floor,far,little/no movement	
Click ,8:38h - 9/26/2013		kneeling w/knees on floor,far,little/no movement, 
Make command Turn 180,8:38h - 9/26/2013, , , , ,purposeful movement
Click ,8:39h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement	
Make command Move 3,8:39h - 9/26/2013, , , , ,little/no movement
Click ,8:39h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement, 
Make command Turn 180,8:40h - 9/26/2013, , , , ,little/no movement
Click ,8:40h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement, 
Make command Move 1,8:40h - 9/26/2013, , , , ,purposeful movement
Click ,8:40h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement, 
Make command Turn 90,8:41h - 9/26/2013, , , , ,purposeful movement
Click ,8:41h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement, 
Make command Turn 180,8:41h - 9/26/2013, , , , ,little/no movement
Click ,8:41h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement, 
Make command Move 3,8:42h - 9/26/2013, , , , ,purposeful movement
Replaying all steps ,8:42h - 9/26/2013, , , , , 
Click ,8:42h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement, 
Make command Plot point,8:42h - 9/26/2013, , , , ,little/no movement
Checking the solution ,8:42h - 9/26/2013, , , , , 
Solution is Correct ,8:42h - 9/26/2013, , , , , 
Checked emotions are Hungry. ,8:42h - 9/26/2013, , , , , 
Moving to next problem ,8:42h - 9/26/2013, , , , , 
