start,10:57h - 9/26/2013, , , , , 
Current problem index : 2 ,11:32h - 9/26/2013, , , , , 
Refresh problem ,11:32h - 9/26/2013, , , , , 
Replaying all steps ,11:32h - 9/26/2013, , , , , 
Refresh problem ,11:32h - 9/26/2013, , , , , 
Click ,11:33h - 9/26/2013,long,slightly bent at waist,close,purposeful movement, 
Make command Turn W,11:33h - 9/26/2013, , , , ,little/no movement
Click ,11:33h - 9/26/2013, ,slightly bent at waist,close,little/no movement, 
Make command Move 2,11:33h - 9/26/2013, , , , ,purposeful movement
Click ,11:34h - 9/26/2013,long,slightly bent at waist,close,purposeful movement, 
Make command Turn S,11:34h - 9/26/2013, , , , ,purposeful movement
Click ,11:34h - 9/26/2013, ,slightly bent at waist,close,little/no movement, 
Make command Move 3,11:34h - 9/26/2013, , , , ,purposeful movement
Click ,11:34h - 9/26/2013, ,slightly bent at waist,close,little/no movement, 
Make command Plot point,11:35h - 9/26/2013, , , , ,purposeful movement
Checking the solution ,11:35h - 9/26/2013, , , ,purposeful movement, 
Solution is Correct ,11:35h - 9/26/2013, , , , ,purposeful movement
Checked emotions are Happy/Hungry. ,11:35h - 9/26/2013,long, , , , 
