start,9:51h - 9/16/2013, , , , ,  
Current problem index : 2 ,10:24h - 9/16/2013, long, kneeling, , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move -2,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Plot point,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:10h - 9/16/2013, , , , , 
Checked emotions are Sad. ,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:10h - 9/16/2013, , , , , 
Checked emotions are . ,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:10h - 9/16/2013, , , , , 
Checked emotions are . ,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:10h - 9/16/2013, , , , , 
Checked emotions are . ,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:10h - 9/16/2013, , , , , 
Checked emotions are . ,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:24h - 9/16/2013, , , , , 
Checked emotions are . ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move -2,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move 2,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move -3,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Plot point,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Incorrect ,10:10h - 9/16/2013, , , , , 
Checked emotions are Sad. ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move 2,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move 1,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Turn W,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move 2,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Refresh problem ,10:10h - 9/16/2013, , , , , 
Replaying all steps ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Turn W,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move 2,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Turn S,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Move 3,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Make command Plot point,10:10h - 9/16/2013, , , , , 
Checking the solution ,10:10h - 9/16/2013, , , , , 
Click ,10:10h - 9/16/2013, , , , , 
Solution is Correct ,10:10h - 9/16/2013, , , , , 
Checked emotions are Happy. ,10:10h - 9/16/2013, , , , , 
Moving to next problem ,10:10h - 9/16/2013, , , , , 
