Switch user 1,20:20h - 8/27/2013
start,8:41h - 9/5/2013,,"	","	","	","	",
Current problem index : 2 ,9:36h - 9/5/2013,,"	","	","	","	",
Refresh problem ,9:36h - 9/5/2013,,"	","	","	","	",
Replaying all steps ,9:36h - 9/5/2013,,"	","	","	","	",
Click ,9:37h - 9/5/2013,,,,,,
Make command Move 270,9:37h - 9/5/2013,,"	bent at waist",close,little/no movement,"	little/no movement",
Click ,9:37h - 9/5/2013,,,,,,
Make command Turn 270,9:37h - 9/5/2013,"	","	bent at waist",close,little/no movement,purposeful movement,
Click,9:38h - 9/5/2013,"	",,,, , 
Make command Turn 90,9:38h - 9/5/2013,,bent at waist,close,little/no movement,"	little/no movement",
Click,9:38h - 9/5/2013, ,,,, , 
Make command Turn 175,9:38h - 9/5/2013,,bent at waist,close,little/no movement,"	purposeful movement",
Click,9:39h - 9/5/2013,,,,,, 
Make command Move 3,9:39h - 9/5/2013,,"	bent at waist",close,little/no movement,"	purposeful movement",
Click,9:39h - 9/5/2013,,,,,, 
Make command Turn 90,9:40h - 9/5/2013,,"	bent at waist",close,purposeful movement,"	little/no movement",
Click,9:40h - 9/5/2013,,,,,, 
Make command Move 10,9:41h - 9/5/2013,,"	bent at waist",close,purposeful movement,"	purposeful movement",
Click,9:42h - 9/5/2013,,,,,, 
Make command Move 3,9:42h - 9/5/2013,,"	bent at waist",close,purposeful movement,"	purposeful movement",
Checking the solution,9:42h - 9/5/2013,,"	","	","	purposeful movement",, 
Solution is Incorrect,9:42h - 9/5/2013,,"	","	","	","	",
Checked emotions are Sad/Guilty/Ashamed/Frustrated.,9:42h - 9/5/2013,,"	","	","	","	", 
Click,9:43h - 9/5/2013,,,,, ,
Make command Turn 7,9:44h - 9/5/2013,,"	kneeling w/knees on floor",close,purposeful movement,"	purposeful movement",
Click,9:44h - 9/5/2013,,,,,, 
Make command Plot point,9:45h - 9/5/2013,,"	kneeling w/knees on floor",close,purposeful movement,"	little/no movement",
Click,9:45h - 9/5/2013,,,,,, 
Make command Plot point,9:45h - 9/5/2013,,"	kneeling w/knees on floor",close,little/no movement,"	little/no movement",
Click,9:46h - 9/5/2013,"	",,,, ,
Make command Turn W,9:47h - 9/5/2013,,kneeling w/knees on floor,close,little/no movement,"	little/no movement",
Click,9:48h - 9/5/2013,,,,,, 
Make command Turn N,9:49h - 9/5/2013,,"	bent at waist",close,purposeful movement,"	purposeful movement",
Click,9:49h - 9/5/2013,,,,,, 
Make command Move 1,9:50h - 9/5/2013,,"	bent at waist",far,purposeful movement,"	purposeful movement",
Checking the solution,9:50h - 9/5/2013,,"	","	close",,"	",
Click,9:50h - 9/5/2013,,"	","	","	","	",
Solution is Incorrect,9:50h - 9/5/2013,,"	","	","	","	purposeful movement",
Checked emotions are Sad/Guilty/Ashamed/Pitiful/Frustrated.,9:50h - 9/5/2013,,"	","	","	","	",
Click,9:51h - 9/5/2013,,,,,"	",
Make command Turn 90,9:51h - 9/5/2013,,"	bent at waist",close,"	","	purposeful movement",
Switch user 11,20:20h - 8/27/2013
start,13:2h - 9/23/2013, , , , , 
Current problem index : 2 ,13:31h - 9/23/2013, , , , , 
Replaying all steps ,13:31h - 9/23/2013, , , , , 
Click ,13:31h - 9/23/2013, ,,,, 
Make command Turn W,13:32h - 9/23/2013, ,kneeling w/knees on floor,far,little/no movement,little/no movement
Click ,13:32h - 9/23/2013, ,,,, 
Make command Move 2,13:32h - 9/23/2013, ,kneeling w/knees on floor,far,little/no movement,little/no movement
Click ,13:33h - 9/23/2013, ,,,, 
Make command Turn S,13:33h - 9/23/2013, ,kneeling w/knees on floor,far,purposeful movement,little/no movement
Click ,13:33h - 9/23/2013, ,,,, 
Make command Move 3,13:33h - 9/23/2013, ,kneeling w/knees on floor,far,purposeful movement,little/no movement
Click ,13:33h - 9/23/2013, ,,,, 
Make command Plot point,13:34h - 9/23/2013, ,kneeling w/knees on floor,far,purposeful movement,little/no movement
Checking the solution ,13:34h - 9/23/2013, , , , , 
Solution is Correct ,13:34h - 9/23/2013, , , , , 
Checked emotions are Happy/Proud. ,13:34h - 9/23/2013, , , , , 
Switch user 12,20:20h - 8/27/2013
start,9:12h - 9/24/2013, , , , , 
Current problem index : 2 ,9:42h - 9/24/2013, , , , , 
Refresh problem ,9:42h - 9/24/2013, , , , , 
Replaying all steps ,9:42h - 9/24/2013, , , , , 
Click ,9:43h - 9/24/2013, ,,,, 
Make command Move -2,9:43h - 9/24/2013, ,kneeling,far,little/no movement,little/no movement
Click ,9:44h - 9/24/2013,,,,, 
Make command Turn S,9:45h - 9/24/2013,long,kneeling,far,little/no movement,purposeful movement
Click ,9:45h - 9/24/2013,,,,, 
Make command Move 3,9:45h - 9/24/2013,long,kneeling,far,little/no movement,little/no movement
Click ,9:46h - 9/24/2013,,,,, 
Make command Plot point,9:46h - 9/24/2013,long,kneeling w/knees on floor,far,purposeful movement,purposeful movement
Checking the solution ,9:46h - 9/24/2013, , , , , 
Solution is Correct ,9:46h - 9/24/2013, , , , , 
Checked emotions are Happy. ,9:46h - 9/24/2013, , , , , 
Refresh problem ,9:46h - 9/24/2013, , , , , 
Switch user 15,20:20h - 8/27/2013
start,8:11h - 9/26/2013, , , , , 
Current problem index : 2 ,8:37h - 9/26/2013, , , , , 
Refresh problem ,8:37h - 9/26/2013, , , , , 
Replaying all steps ,8:37h - 9/26/2013, , , , , 
Click ,8:37h - 9/26/2013,,,,,
Click ,8:38h - 9/26/2013,,,,,
Make command Turn 180,8:38h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement,purposeful movement
Click ,8:39h - 9/26/2013, ,,,,
Make command Move 3,8:39h - 9/26/2013, ,kneeling w/knees on floor,far,"little/no movement	",little/no movement
Click ,8:39h - 9/26/2013, ,,,, 
Make command Turn 180,8:40h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement,little/no movement
Click ,8:40h - 9/26/2013, ,,,, 
Make command Move 1,8:40h - 9/26/2013, ,kneeling w/knees on floor,far,little/no movement,purposeful movement
Click ,8:40h - 9/26/2013, ,,,, 
